"user_prompt","url_to_check","func_rating","custom_rating"
"Spine Surgery","https://pubmed.ncbi.nlm.nih.gov/8950879/","3","4"
"Nvidia Stock Price","https://www.cnbc.com/quotes/NVDA","3","4"
"Nvidia Stock Price","https://www.marketwatch.com/investing/stock/nvda","3","3"
"Bitcoin Price","https://finance.yahoo.com/quote/BTC-USD/","3","5"
"Best stock to buy","https://www.fool.com/investing/2025/02/18/the-3-best-stocks-to-buy-and-hold-for-the-next-sta/","3","3"
"which is the best sip to invest for long term","https://www.etmoney.com/mutual-funds/featured/best-sip-funds/18","3","3"
"which is the best sip to invest for long term","https://groww.in/mutual-funds/top/best-long-duration-mutual-funds","3","3"
"is mutual funds safe","https://www.investopedia.com/ask/answers/091815/when-are-mutual-funds-considered-bad-investment.asp#:~:text=Mutual%20funds%20are%20largely%20a,when%20it%20comes%20to%20fees.","3","2"
"is mutual funds safe","https://www.schwab.com/mutual-funds/understand-mutual-funds","2","2"
"how to make safe investments","https://www.bankrate.com/investing/low-risk-investments/","3","3"
"how to make safe investments","https://www.sec.gov/investor/pubs/tenthingstoconsider.htm","3","2"